,Suite,Tempo do Imóvel,academia,area_total,area_util,bairro,banheiros,churrasqueira,condominio,elevador,iptu,piscina,preco,quartos,salao_festa,tipo,vagas,Bairro
287,,,1,56,,Cerâmica,2,1,535.0,1,,0,459000,2,1,2,2,
288,,,0,68,,Cerâmica,2,1,105.0,1,,1,720000,2,0,2,2,
289,,,0,64,,Santa Maria,3,1,500.0,1,,1,390000,2,1,2,3,
290,,,0,65,,Cerâmica,3,1,520.0,1,,0,430000,2,1,2,3,
291,,,0,80,,Jardim Sao Caetano,6,1,19.0,1,,1,495000,3,0,2,6,
292,,,0,264,,Olímpico,4,0,150.0,1,,0,1980000,3,0,2,4,
293,,,0,113,,Santo Antônio,2,1,511.0,1,,1,1130000,2,1,2,2,
294,,,0,61,,Fundação,2,1,515.0,1,,1,331000,2,1,2,2,
295,,,1,90,,Cerâmica,4,0,508.0,1,,0,990000,2,1,2,4,
296,,,0,106,,Santa Paula,2,1,550.0,1,,1,550000,3,1,2,2,
297,,,0,68,,Cerâmica,2,1,1.0,1,,1,6498000,2,1,2,2,
298,,,0,68,,Barcelona, -- ,0,450.0,1,,0,450000,2,0,2, -- ,
299,,,0,67,,Barcelona,1,1,600.0,1,,1,455000,2,1,2,1,
300,,,0,88,,Barcelona,1,1,385.0,1,,1,450000,3,1,2,1,
301,,,1,62,,Santo Antônio,2,1,561.0,1,,0,475000,2,1,2,2,
302,,,0,79,,Mauá,2,0,14.0,1,,1,495000,3,1,2,2,
303,,,0,150,,Centro,3,1,775.0,1,,1,630000,4,1,2,3,
304,,,0,61,,Osvaldo Cruz,3,1,878.0,1,,1,510000,2,1,2,3,
305,,,1,76,,Santa Maria,1,0,738.0,1,,0,4199000,2,1,2,1,
306,,,0,79,,Boa Vista,4,1,395.0,1,,1,700000,3,1,2,4,
307,,,1,55,,Olímpico,2,0,410.0,0,,1,2969000,2,1,2,2,
308,,,0,174,,Santa Paula,2,1,447.0,1,,1,990000,3,1,2,2,
309,,,1,65,,Boa Vista,1,1,482.0,1,,0,365000,2,1,2,1,
310,,,0,90,,Olímpico,2,0,105.0,0,,0,850000,2,0,2,2,
311,,,1,90,,Santa Paula,2,0,351.0,0,,1,650000,3,1,2,2,
312,,,1,180,,Santa Paula,1,1,568.0,0,,1,1200000,3,1,2,1,
313,,,0,67,,Santa Maria,2,0,430.0,1,,0,240000,3,1,2,2,
314,,,0,65,,Barcelona,1,1,535.0,1,,1,435000,2,1,2,1,
315,,,0,70,,Olímpico,2,0,105.0,1,,0,395000,2,1,2,2,
316,,,1,75,,Santa Maria,2,1,520.0,1,,0,460000,2,1,2,2,
317,,,1,160,,Santa Maria,2,1,19.0,1,,0,7499000,3,1,2,2,
318,,,0,84,,Santa Paula,3,1,150.0,1,,1,750000,3,0,2,3,
319,,,0,140,,Nova Gerty,1,1,511.0,1,,1,500000,2,1,2,1,
320,,,0,56,,Cerâmica,1,1,515.0,1,,0,459000,2,1,2,1,
321,,,0,68,,Cerâmica,1,1,508.0,1,,1,720000,2,0,2,1,
322,,,0,64,,Santa Maria,2,0,550.0,1,,0,390000,2,0,2,2,
323,,,0,65,,Cerâmica,1,1,1.0,1,,1,430000,2,1,2,1,
324,,,0,80,,Jardim Sao Caetano,2,1,450.0,1,,1,495000,3,1,2,2,
325,,,1,264,,Olímpico,2,0,600.0,1,,0,1980000,3,1,2,2,
