,tipo,bairro,area_total,quartos,banheiros,vagas,academia,churrasqueira,elevador,salao_festa,piscina,condominio,preco
324,2,Jardim Sao Caetano,80,3,2,2,0,1,1,1,1,450.0,495000
325,2,Olímpico,264,3,2,2,1,0,1,1,0,600.0,1980000
326,2,Santo Antônio,113,2,3,3,0,1,1,1,1,385.0,1130000
327,2,Fundação,61,2, -- , -- ,0,1,1,1,1,561.0,331000
328,2,Cerâmica,90,2,2,2,0,0,1,0,0,14.0,990000
329,2,Santa Paula,106,3,2,2,0,1,1,1,1,775.0,550000
330,2,Cerâmica,68,2,4,4,0,1,1,1,1,450.0,6498000
331,2,Barcelona,68,2,1,1,1,1,1,1,0,878.0,450000
332,2,Barcelona,67,2,4,4,0,0,1,1,1,738.0,455000
333,2,Barcelona,88,3,3,3,0,1,1,1,1,395.0,450000
334,2,Santo Antônio,62,2,3,3,1,1,0,0,0,410.0,475000
335,2,Mauá,79,3, 2-3 , 2-3 ,0,1,1,1,1,447.0,495000
336,2,Centro,150,4,2,2,1,0,1,1,0,482.0,630000
337,2,Osvaldo Cruz,61,2,1,1,1,0,0,1,1,105.0,510000
338,2,Santa Maria,76,2,2,2,0,1,1,1,1,351.0,4199000
339,2,Boa Vista,79,3,1,1,1,1,1,1,0,568.0,700000
340,2,Olímpico,55,2,2,2,0,1,1,1,1,430.0,2969000
341,2,Santa Paula,174,3,1,1,0,0,0,0,0,535.0,990000
342,2,Boa Vista,65,2,2,2,1,0,0,1,1,105.0,365000
343,2,Olímpico,90,2,3,3,0,0,1,1,0,520.0,850000
344,2,Santa Paula,90,3,2,2,0,1,1,1,1,19.0,650000
345,2,Santa Paula,180,3,1,1,0,0,1,1,0,150.0,1200000
346,2,Santa Maria,67,3,2,2,0,1,1,1,1,511.0,240000
347,2,Barcelona,65,2,2,2,1,1,1,1,0,515.0,435000
348,2,Olímpico,70,2, -- , -- ,1,1,1,1,0,508.0,395000
349,2,Santa Maria,75,2,1,1,0,1,1,1,1,1.0,460000
350,2,Santa Maria,160,3,3,3,0,1,1,1,0,450.0,7499000
351,2,Santa Paula,84,3,1,1,0,1,1,0,1,600.0,750000
352,2,Nova Gerty,140,2,3,3,0,0,1,0,0,385.0,500000
353,2,Cerâmica,56,2,3,3,0,1,1,1,1,561.0,459000
354,2,Cerâmica,68,2,2,2,0,1,1,1,1,14.0,720000
355,2,Santa Maria,64,2,1,1,1,0,1,1,0,775.0,390000
356,2,Cerâmica,65,2,2,2,0,1,1,1,1,450.0,430000
357,2,Jardim Sao Caetano,80,3,1,1,0,1,1,1,1,878.0,495000
358,2,Olímpico,264,3,1,1,0,0,1,0,0,738.0,1980000
359,2,Santo Antônio,113,2,1,1,0,1,1,1,1,395.0,1130000
360,2,Fundação,61,2,1,1,0,1,1,1,1,410.0,331000
361,2,Cerâmica,90,2,2,2,1,1,1,1,0,447.0,990000
362,2,Santa Paula,106,3,2,2,0,0,1,1,1,482.0,550000
363,2,Cerâmica,68,2,3,3,0,1,1,1,1,478.0,6498000
364,2,Barcelona,68,2,2,2,1,1,0,0,0,105.0,450000
365,2,Barcelona,67,2,3,3,0,1,1,1,1,351.0,455000
366,2,Barcelona,88,3,1,1,1,0,1,1,0,568.0,450000
367,2,Santo Antônio,62,2,3,3,0,1,1,1,1,430.0,475000
368,2,Mauá,79,3,2,2,1,0,0,1,1,535.0,495000
369,2,Centro,150,4,3,3,0,1,1,1,1,105.0,630000
370,2,Osvaldo Cruz,61,2,5,5,0,1,1,1,1,520.0,510000
371,2,Santa Maria,76,2,3,3,0,0,0,0,0,19.0,4199000
372,2,Boa Vista,79,3,3,3,1,0,0,1,1,150.0,700000
373,2,Olímpico,55,2,1,1,1,1,0,1,1,511.0,2969000
374,2,Santa Paula,174,3,2,2,0,0,1,1,0,515.0,990000
375,2,Boa Vista,65,2,2,2,0,1,1,1,1,508.0,365000
376,2,Olímpico,90,2,1,1,0,1,1,1,1,1.0,850000
